name,funct,ref,pos,morph
E1a,dur,ei,0,NP
E1b,res,ei,0,NP
E1c,telic,ei,0,NP
E2a,dur,ei,0,NP
E2b,dur,obj/subj,0,NP
E3a,dur,ei,0,NP
E3b,dur,obj/subj,0,NP
E4,res,ei,0,NP
E5a,res,ei,0,NP
E5b,res,ei,0,ADV
E6a,dur,ei,0,ADV
E6b,dur,ei,0,NP
E6c,dur,ei,0,NP
E7,dur,ei,0,ADV
F1a,fkalend,ei,0,NP
F1b,fkalend,ei,1,NP
F2a,f,ei,0,NP
F2b,f,ei,0,ADV
F3a,f,ei,0,ADV
F3b,f,ei,0,ADV
F3c,f,ei,0,ADV
F3d,f,ei,0,ADV
F3e,f,ei,0,ADV
F4,f,ei,0,ADV
F5,f,ei,0,ADV
L1a,keh,UT,0,ADV
L1b,keh,UT,0,ADV
L1c,keh,UT,0,ADV
L2a,keh,abs,1,NP
L2b,keh,abs,1,NP
L3,punkt,abs,0,NP
L4a,keh,UT,1,NP
L4b,keh,ei,0,NP
L5a,keh,UT,0,NP
L5b,keh,UT,0,ADV
L6a,sekv,UT,0,NP
L6b,sekv,obj/subj,0,NP
L6c,sekv,obj/subj,0,NP
L7a,sekv-dur,anaf,0,NP
L7b,keh,anaf,0,NP
L7c,punkt,anaf,0,ADV
L7d,punkt,ei,0,NP
L8a,keh,UT,0,ADV
L8b,keh,UT,0,ADV
L8c,punkt,UT,0,ADV
L9a,keh,abs,0,NP
L9b,sekv-dur,UT,0,NP
L9c,sekv-dur,abs,0,NP
L9d,sekv-dur,abs,0,NP
LM1,likim,abs,0,NP
P1,presup,ei,0,ADV
P2,presup,ei,0,ADV
P3,presup,ei,0,ADV
