oldname,newname
ex1,E1a
ex10,E2b
ex1a,E1a2
ex2a,E1b
ex2b,E4
ex3a,E3b
ex3afix,E3bfix
ex3b,E3a
ex4,E1c
ex5a,E5a
ex5b,E5b
ex6,E6a
ex7,E6b
ex8,E6c
ex9,E2a
fr1,F1a
fr2,F1b
fr3a,F2a
fr3b,F2b
fr4a,F3a
fr4b,F3b
fr5a,F3c
fr5b,F3d
fr6,F3e
fr7,F4
lc0a,L1a
lc0b,L1b
lc0c,L1c
lc1,L5a
lc10,L9b
lc10b,L9c
lc11,L9a
lc12,L4b
lc13,L9d
lc15,L7d
lc16,L2a
lc17,L2b
lc2,L4a
lc3,L6b
lc4,L7a
lc5,L6a
lc6,L3
lc7a,L7b
lc7b,L7c
lc8,L8a
lc9a,L8b
lc9b,L8c
pr1,P1
pr2,P2
pr3,P3
fr8,F5
ex11,E7
lm1,LM1
lm1a,LM1
lm1b,LM1
lc1b,L5b
jp1,L6c
